V1,rural3,union1988,centeno,totalexperience,replacement,iddto,idedo,jornadaPRI,noOP,fraud
Aguascalientes_II_2014-05-26 00.09.31,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.09.35,1.312870979,0,0,1,0,2,1,0.50999999,1,1
Aguascalientes_II_2014-05-26 00.09.40,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.09.44,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.09.48,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.09.52,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.09.57,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.10.01,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.10.05,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.10.09,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.10.14,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.10.18,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.10.21,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.10.26,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.10.30,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.10.34,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.10.40,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.11.10,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.11.14,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.11.18,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.11.22,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.11.27,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.11.32,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.11.36,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.11.40,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.11.44,1.312870979,0,0,1,0,2,1,0.50999999,1,1
Aguascalientes_II_2014-05-26 00.11.47,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.11.51,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.11.55,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.11.59,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.12.03,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.12.07,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.12.11,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.12.15,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.12.19,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.12.23,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.12.26,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.12.31,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.12.35,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.12.39,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.12.44,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.12.47,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.12.51,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.12.55,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.13.00,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.13.04,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.13.08,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.13.11,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.13.15,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.13.19,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.13.22,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.13.26,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.13.30,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.13.34,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.13.38,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.13.42,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.13.45,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.13.49,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.13.52,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.13.56,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.14.01,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.14.05,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.14.09,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.14.13,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.14.17,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.14.21,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.14.25,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.14.32,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.14.37,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.14.41,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.14.46,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.15.18,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.15.23,1.312870979,0,0,1,0,2,1,0.50999999,1,1
Aguascalientes_II_2014-05-26 00.15.27,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.15.32,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.15.36,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.15.40,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.15.44,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.15.50,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.15.54,1.312870979,0,0,1,0,2,1,0.50999999,1,1
Aguascalientes_II_2014-05-26 00.15.59,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.16.03,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.16.08,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.16.13,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.16.17,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.16.21,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.16.24,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.16.28,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.16.32,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.16.36,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.16.39,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.16.43,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.16.46,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.16.50,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.16.54,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.16.57,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.17.01,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.17.06,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.17.10,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.17.18,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.17.29,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.17.33,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.17.37,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.17.41,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.17.45,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.17.50,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.17.53,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.17.56,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.18.00,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.18.03,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.18.07,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.18.12,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.18.18,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.18.23,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.18.27,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.18.30,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.20.02,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.20.13,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.20.21,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.20.28,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.20.35,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.20.40,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.20.48,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.20.59,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.21.27,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.21.38,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.21.44,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.21.51,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.22.02,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.22.09,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.22.15,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.22.21,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.22.27,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.22.33,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.22.40,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.22.47,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.22.54,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.23.01,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.23.10,1.312870979,0,0,1,0,2,1,0.50999999,1,1
Aguascalientes_II_2014-05-26 00.23.18,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.23.25,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.23.31,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.23.38,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.23.44,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.23.50,1.312870979,0,0,1,0,2,1,0.50999999,1,1
Aguascalientes_II_2014-05-26 00.23.56,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.24.02,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.24.08,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.24.15,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.24.20,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.24.33,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.24.39,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.24.47,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.24.53,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.25.01,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.25.08,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.25.15,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.25.26,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.25.33,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.25.39,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.25.46,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.25.53,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.26.00,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.26.06,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.26.12,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.26.19,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.26.24,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.26.30,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.26.37,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.26.43,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.26.49,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.26.55,1.312870979,0,0,1,0,2,1,0.50999999,1,0
Aguascalientes_II_2014-05-26 00.27.01,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.27.08,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.27.14,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.27.24,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.27.36,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.27.43,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.27.51,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_II_2014-05-26 00.27.57,1.312870979,0,0,1,0,2,1,0.50999999,1,1
Aguascalientes_II_2014-05-26 00.28.04,1.312870979,0,0,1,0,2,1,0.50999999,0,1
Aguascalientes_II_2014-05-26 00.28.11,1.312870979,0,0,1,0,2,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.00.10,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.00.17,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.00.25,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.00.31,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.00.38,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.00.45,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.00.52,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.00.59,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.01.06,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.01.15,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.01.50,0.130065903,1,0,1,0,1,1,0.50999999,0,1
Aguascalientes_I_2014-05-26 00.01.58,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.02.05,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.02.13,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.02.20,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.02.25,0.130065903,1,0,1,0,1,1,0.50999999,0,1
Aguascalientes_I_2014-05-26 00.02.32,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.03.14,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.03.21,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.03.27,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.03.35,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.03.45,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.03.53,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.04.00,0.130065903,1,0,1,0,1,1,0.50999999,0,1
Aguascalientes_I_2014-05-26 00.04.08,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.04.15,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.04.23,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.04.29,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.04.36,0.130065903,1,0,1,0,1,1,0.50999999,0,1
Aguascalientes_I_2014-05-26 00.04.42,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.04.49,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.04.56,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.05.03,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.05.09,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.05.16,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.05.22,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.05.30,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.05.36,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.05.43,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.05.49,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.05.56,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.06.04,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.06.10,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.06.16,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.06.22,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.06.30,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.06.38,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.06.46,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.06.53,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_2014-05-26 00.07.01,0.130065903,1,0,1,0,1,1,0.50999999,0,1
Aguascalientes_I_2014-05-26 00.07.09,0.130065903,1,0,1,0,1,1,0.50999999,0,1
Aguascalientes_I_DSC_0001,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_DSC_0002,0.130065903,1,0,1,0,1,1,0.50999999,1,0
Aguascalientes_I_DSC_0003,0.130065903,1,0,1,0,1,1,0.50999999,1,0
Aguascalientes_I_DSC_0004,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_DSC_0005,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_DSC_0006,0.130065903,1,0,1,0,1,1,0.50999999,1,0
Aguascalientes_I_DSC_0007,0.130065903,1,0,1,0,1,1,0.50999999,0,1
Aguascalientes_I_DSC_0008,0.130065903,1,0,1,0,1,1,0.50999999,0,1
Aguascalientes_I_DSC_0009,0.130065903,1,0,1,0,1,1,0.50999999,1,0
Aguascalientes_I_DSC_0010,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_DSC_0011,0.130065903,1,0,1,0,1,1,0.50999999,0,1
Aguascalientes_I_DSC_0012,0.130065903,1,0,1,0,1,1,0.50999999,0,1
Aguascalientes_I_DSC_0013,0.130065903,1,0,1,0,1,1,0.50999999,0,1
Aguascalientes_I_DSC_0014,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_DSC_0015,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_DSC_0016,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_DSC_0017,0.130065903,1,0,1,0,1,1,0.50999999,0,0
Aguascalientes_I_DSC_0018,0.130065903,1,0,1,0,1,1,0.50999999,0,0
